label,feature
O,本製品は、Internet Explorer 5.5以上に対応すること。
O,本製品はMozilla Firefox 1.0以上に対応すること。
O,本製品は、Choice Parts Systemとの整合性を保つこと。これにより、リサイクルパーツのデータのfeed情報を提供すること。
O,本製品は、すべての環境の既存のハードウェア上で動作すること。
O,本製品は、企業のアーキテクチャガイドラインに準拠すること。
LF,本製品は、企業のユーザインタフェースガイドラインに準拠すること。
LF,本製品は、企業のカラースキームに準拠すること。
LF,本製品の外観は、プロフェッショナルであること。
US,本製品は、アジャスターと修理費見積もり担当者によって使いやすいものでなければならない。アジャスターと修理費見積もり担当者の95％は、製品が使いやすいと感じるようにすること。
US,本製品を使用することで、修理費見積もり担当者の生産性が向上すること。本製品を使用してから1ヶ月以内に、80％の修理費見積もり担当者が生産性が向上したと同意すること。
US,ユーザが本製品を使用して満足を感じること。全体の85％のユーザが、本製品に満足すること。
US,本製品は、アジャスターと修理費見積もり担当者が容易に習得できるものであること。本製品は、2日間のオンサイトトレーニングで習得できるものであること。
US,ユーザは、本製品の使用中に、説明書を容易に見つけることができること。ユーザ向けのヘルプは、システムの90％の範囲内で見つけられること。
PE,リサイクル部品の検索は15秒以内であること。検索結果が15秒以内に返ってくること。
PE,優先修理施設の検索は8秒以内に行うこと。8秒以内に、優先修理施設が返されること。
PE,リサイクル部品の監査報告は、10秒以内にユーザに返却されること。監査報告書は10秒以内に返却されること。
PE,優先修理施設の評価は5秒以内に保存されること。保存は5秒以内に行われるものとする。
A,本製品は、企業のオンライン可用性スケジュールを遵守すること。本アプリケーションは、可用性スケジュールに基づいて予定された停止時間の98％以内でのみ停止される。
A,本製品は、98%のuptime（稼働時間）を達成すること。本製品は、利用可能なオンライン時間の2％を超えて故障しないこと。
SC,本製品は、最大1500人の同時ユーザを扱える製品であること。本製品は、一度に1500人のユーザでパフォーマンスを発揮すること。
SC,"1日あたりのリサイクル部品記録数は、平均50,000個とする。"
SC,"本製品は、最初の発売から2年以内に、10,000人の同時使用ユーザを扱えること。"
O,修理工場の汚れや騒音の中において、見積もり担当者は、本製品を操作できること。
O,本製品は、1日1回、午前1時頃にChoicePartsシステムと整合性をとること。
O,本製品のメンテナンスは、企業が定めたメンテナンスウィンドウの範囲内で行われること。
O,本製品は、コーポレートサポートセンターを利用してサポートを受けることができること。
O,本製品のインストールとアップグレードは、定められた発売期間内に、ミドルウェア技術チームが行うこと。
SE,アジャスターのみがリサイクルパーツ監査レポートを要求する権限を持つこと。アジャスターの役割を持たないユーザは、リサイクルパーツの監査を要求することはできない。
SE,管理者の役割をもつアジャスターのみが優先修理施設の格付けを更新できること。管理者の役割を持たないユーザは、修理施設の評価にアクセスできない。
SE,修理費見積もり担当者のみがリサイクル部品の検索を行うものとする。修理費見積もり担当者の役割を持たないユーザは、リサイクル部品の検索にアクセスしてはならない。
SE,有効なデータのみをシステムに入力すること。無効なデータを入力してはならない。
SE,ある保険会社が他の保険会社の請求データを閲覧することはできない。
SE,本製品には、コンピュータウイルスが混入しないこと。
SE,本システムは、サービス妨害を含む悪意のある攻撃を防ぐことができること。
L,本製品は、Sarbanes-Oxley法に準拠していること。
L,本製品は、再生部品の使用に関する推定法に準拠していること。
L,本製品は、保険金請求処理に関する保険規制に準拠していること。
F,ユーザは、車両の位置と半径（マイル）を使って、希望する修理施設を検索すること。
F,車両データには、車両の年式、メーカー、モデルが含まれること。
F,車両の位置には、住所、都市名、州名、郵便番号が含まれること。
F,本システムは、郵便番号が不明な場合、住所の市と州の郵便番号を特定する。
F,本システムの検索半径は1～30マイルとする。
F,本システムは、入力された基準に対して最も高い評価を得ている優先的な修理工場を見つけること。
F,アジャスターは、見積もりの割り当ての際に、希望する修理箇所を入力するものとする。
F,アジャスターは、見積もりの際に優先する修理項目を変更できるものとする。
F,望ましい修理項目がユーザに提示されるものとする。
F,本システムは、望ましい修理項目が決定できない場合、半径内の修理項目のリストを返すものとする。
F,見積もり担当者は、損傷した車両の部品情報を用いて、利用可能なリサイクル部品を検索するものとする。
F,見積り担当者は、優先部品サプライヤーのリストを用いて、利用可能なリサイクル部品を検索するものとする。
F,本システムは、供給された車両部品とサプライヤーに対して、利用可能なリサイクル部品を検索するものとする。
F,見積もり担当者は、のぞましい部品供給会社の部品が見つからない場合、半径30マイルの郵便番号で検索するものとする。
F,本システムは、検索によって返された利用可能なリサイクル部品とサプライヤの情報を、保持すること。
F,利用可能なリサイクル部品の情報とその供給者をユーザにリターンすること。
F,見積もり担当者は、選択したリサイクル部品を修理費見積もりに適用する。
F,見積もり担当者は、利用可能な部品が返されない場合、リサイクル部品を修理費見積もりに適応してはならない。
F,アジャスターは、修理費見積もりを確認するものとする。
F,アジャスターは、修理費見積もりのリサイクル部品監査を要求するものとする。
F,見積もり担当者に提供されたリサイクル部品の検索結果は、本システムによって取得されるものとする。
F,本システムは、利用可能なリサイクル部品と修理費見積もりに基づいて、監査レポートを作成するものとする。
F,監査報告書には、見積りに使用したリサイクル部品の総数を記載すること。
F,監査報告書には、最初の検索結果から利用可能なリサイクル部品の数を記載する。
F,監査報告書には、見積りに使用された利用可能な再生部品の割合を記載すること。
F,監査報告書には、個々の項目を合計した監査の総得点を記載する。
F,監査報告書をユーザに表示すること。
F,監査報告書は、後の時点で他のアジャスターが利用できるものとする。
F,ユーザは、優先する修理項目の見積もり額を表示するように選択する。
F,現在の修理項目の見積もり額をユーザに表示すること。
F,本システムは、評価がまだ定まっていない場合は空白のセットを表示する。
F,ユーザは、監査報告書に基づいて新しい評価を入力するものとする。
F,評価は、1～10の段階で行う。
F,評価には、リサイクル部品の仕様を試みた場合と、実際に使用した場合のカテゴリが含まれていること。
F,ユーザは、希望する修理項目の評価を保存するように選択するものとする。
F,優先修理項目の評価は、システムに保存されるものとする。
