label,feature
LF,本製品は、モニタリングサービスに基づくGUIを提供すること。システム管理者は、メッセージのやり取りを監視し、問題を予測し、特定し、内部および外部のサポートを提供すること。
LF,本製品は、City of Chicago Application Development Guide Frameworkに準拠すること。Application Development Frameworkは、構造化されたグラフィカル・ユーザー・インターフェースを提供する。
US,本製品は監視サービスを提供すること。システム管理者およびDBAは、2週間の使用後、本システムを容易に使用できること。
US,本製品は、エラー追跡サービスを提供します。本製品は、システム管理者やDBAがトランザクションエラーを99％解決することを支援すること。
US,本製品はポータルを提供しなければならない。本製品は、システム管理者がアドホック・レポートやKPI（Key Performance Indicators）を使ってトランザクションを分析することを支援する。
PE,本製品は、非同期メッセージングを提供すること。本製品は、非同期メッセージングを提供することで、並列処理を可能にし、通信のオーバーヘッドを削減することこと。
PE,本製品は、マルチスレッディングとロードバランシングを提供しなければならない。本製品は、データ負荷の急増やトラフィックを克服するために、マルチスレッドとロードバランシングを提供すること。
PE,本製品は2秒以内にメッセージを処理しなければならない。本製品の最大メッセージ処理時間は2秒とする。
PE,本製品は、1秒ごとにメッセージをポーリングしなければならない。本製品は、最大1秒ごとに新しいメッセージについてシステムをポーリングする。
PE,本製品は、動的変更サポート（Dynamic Change Support）と透過的リソース追加（Transparent resource addition）を提供すること。このことは、本製品がスケーラビリティへの対応と、1日を超えるサービスの中断を回避するためである。
A,本製品は99％の確率でで利用可能であること。根拠としては、お客様のサービス対応が最も忙しい時期にサービスが中断されることを避けるためである。本製品は、通常の営業日には、稼働99.99%の確率で製品を利用できるなければならない。
FT,本製品は堅牢でなければならない。本製品は規格の採用に基づく故障回避機能を備えていなければならない。
FT,製品はフォールトトレランスを備え、堅牢でなければならない。本製品は、リカバリ技術を用いた補償トランザクションと障害回避のためのルーティングにより、フォールトトレランスを備えていなければならない。
SC,本製品は、すべてのトランザクションを処理できなければならない。本製品は、年間最低100万のトランザクションを処理できなければならない。
O,本製品は、プラットフォームに依存しないものとする。本製品は、あらゆるタイプの開発環境およびプラットフォームへのアクセスを可能にしなければならない。
O,本製品は、CSRとDatastreamとインターフェース接続ができなければならない。本製品は、CSRとEAMの間で、2つのシステム間の直接のインターフェースなしに、リアルタイムでメッセージを交換できなければならない。
MN,本製品は、アップグレードによる変更または新しいリソースの追加中も稼働を継続しなければならない。本製品は、新しいリソースの追加があっても、サービスの中断なく、稼働し続けることができるものとする。
MN,本製品は定期的にアップデートされなければならない。本製品は、6ヶ月ごとに新しい主要機能が導入され、6ヶ月ごとに四半期ごとのメンテナンスリリースが行われる。
MN,本製品は、あらゆるプラットフォームで動作しなければならない。本製品は、そのアーキテクチャに変更を加えることなく、あらゆる新技術に対応すること。
SE,本製品がセキュリティを担保すること。本製品は、製品が認証と認可を提供しなければならない。
SE,本製品はセキュリティに関する情報を提供しなければならない。本製品は、暗号化WS-SecurityおよびIntegrityCheckingによってプライバシーを確保しなければならない。
SE,本製品は、監査機能を備えなければならない。本製品は、監査およびトランザクションの追跡を目的として、メッセージを最低1年間保存すること。
LF,本システムは、IBMおよびCCRのブランド基準を使用すること。本システムのインターフェースに、IBMのロゴとCCRのロゴが1つずつ表示すること。
LF,本システムは、CCRユーザが所有する業務用のコンピュータで表示可能でなければならない。システムのインターフェイスは、800×600ピクセルの解像度で表示されるように整形されていること。
