F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,1,0,0,0,0,0,0,0,0,0,0,0,1000回のアクセスのうち、999回はシステムを利用できること。
0,0,1,0,0,0,0,0,0,0,0,0,0,本製品は、インターネットに接続できない場合には、オフラインモードで動作すること。
0,0,1,0,0,1,0,0,0,0,0,0,0,本製品は、過去にダウンロードした検索結果のCMAレポートやアポイントメントを閲覧できること。
0,0,1,0,0,0,0,0,0,0,0,0,0,本製品は、障害が発生してもユーザの設定を保持すること。
0,0,1,0,0,0,0,0,0,0,0,0,0,システムがオンラインになると、保存されたユーザ設定が100％復元されること。
0,0,0,0,0,0,0,1,0,1,0,0,0,本製品は、複数のリモートのユーザに対応できる製品であること。
0,0,0,0,0,0,0,0,0,1,0,0,0,本製品は、1000人の同時ユーザをサポートできること。
0,0,0,0,0,0,0,0,0,1,0,0,0,本製品は、既存の1000人のユーザに対応できるものであること。本人数は、今後1年以内に5倍に増えると予想される。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、訓練を受けていない不動産業者が、別途印刷された説明書に頼らずに、インストールできること。
0,0,0,0,0,0,0,0,0,0,0,1,0,トレーニングを受けていない不動産業者の90％が、印刷された説明書なしで、自分のデバイスに製品をインストールできること。
0,0,0,0,0,0,1,0,1,0,0,0,0,本製品は、Windows CEとPalmのOS上で動作すること。
0,0,0,0,0,0,0,0,0,0,1,0,1,登録された不動産業者のみが、本システムにアクセスできること。
0,0,0,0,0,0,0,0,0,0,1,0,1,本システムのすべてのユーザは、認証され、許可されなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、誤ったデータが持ち込まれることを防止しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,1,本システムは、不動産業者がMLSの情報を照会可能にすること。
1,0,0,0,0,0,0,0,0,0,0,0,0,不動産業者は、物件の条件に基づいてCMAレポートを作成できること。
1,0,0,0,0,0,0,0,0,0,0,0,0,本システムでは、アポイントメントを取るために売り手または買い手に電話をかけることができること。
1,0,0,0,0,0,0,0,0,0,0,0,0,オフィスシステムとの自動同期後、不動産業者に新規顧客のアポイントメントを通知すること。
1,0,0,0,0,0,0,0,0,0,0,0,0,不動産業者が、指定したエリアの物件位置を示す地図を検索できること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、プログラム管理者／看護職員が使いやすいこと。
0,0,0,0,0,0,0,0,0,0,0,1,0,1日のトレーニングで、すべてのユーザがシステムを使えるようになること。
