label,feature
A,1000回のアクセスのうち、999回はシステムを利用できること。
FT,本製品は、インターネットに接続できない場合には、オフラインモードで動作すること。
FT,本製品は、過去にダウンロードした検索結果のCMAレポートやアポイントメントを閲覧できること。
FT,本製品は、障害が発生してもユーザの設定を保持すること。
FT,システムがオンラインになると、保存されたユーザ設定が100％復元されること。
SC,本製品は、複数のリモートのユーザに対応できる製品であること。
SC,本製品は、1000人の同時ユーザをサポートできること。
SC,本製品は、既存の1000人のユーザに対応できるものであること。本人数は、今後1年以内に5倍に増えると予想される。
US,本製品は、訓練を受けていない不動産業者が、別途印刷された説明書に頼らずに、インストールできること。
US,トレーニングを受けていない不動産業者の90％が、印刷された説明書なしで、自分のデバイスに製品をインストールできること。
PO,本製品は、Windows CEとPalmのOS上で動作すること。
SE,登録された不動産業者のみが、本システムにアクセスできること。
SE,本システムのすべてのユーザは、認証され、許可されなければならない。
SE,本製品は、誤ったデータが持ち込まれることを防止しなければならない。
F,本システムは、不動産業者がMLSの情報を照会可能にすること。
F,ユーザは、選択した物件までの道順を取得できること。
F,ユーザは、顧客の予定や連絡先情報をダウンロードできること。
F,本システムは、検索結果において、鮮明な物件画像を表示すること。
F,本システムは、MLSの物件リストを更新または新規作成すること。
F,不動産業者は、物件の条件に基づいてCMAレポートを作成できること。
F,本システムでは、アポイントメントを取るために売り手または買い手に電話をかけることができること。
F,オフィスシステムとの自動同期後、不動産業者に新規顧客のアポイントメントを通知すること。
F,不動産業者が、指定したエリアの物件位置を示す地図を検索できること。
F,本システムは、売主または買主がアポイントメントリクエストに応じた場合、不動産業者に通知すること。
F,本製品は、ユーザが物件検索結果を保存できようにすること。
US,本システムは、プログラム管理者／看護職員が使いやすいこと。
US,1日のトレーニングで、すべてのユーザがシステムを使えるようになること。
