label,feature
A,1000回のアクセスのうち、999回はシステムを利用できること。
FT,本製品は、インターネットに接続できない場合には、オフラインモードで動作すること。
FT,本製品は、過去にダウンロードした検索結果のCMAレポートやアポイントメントを閲覧できること。
FT,本製品は、障害が発生してもユーザの設定を保持すること。
FT,システムがオンラインになると、保存されたユーザ設定が100％復元されること。
SC,本製品は、複数のリモートのユーザに対応できる製品であること。
SC,本製品は、1000人の同時ユーザをサポートできること。
SC,本製品は、既存の1000人のユーザに対応できるものであること。本人数は、今後1年以内に5倍に増えると予想される。
US,本製品は、訓練を受けていない不動産業者が、別途印刷された説明書に頼らずに、インストールできること。
US,トレーニングを受けていない不動産業者の90％が、印刷された説明書なしで、自分のデバイスに製品をインストールできること。
PO,本製品は、Windows CEとPalmのOS上で動作すること。
SE,登録された不動産業者のみが、本システムにアクセスできること。
SE,本システムのすべてのユーザは、認証され、許可されなければならない。
SE,本製品は、誤ったデータが持ち込まれることを防止しなければならない。
US,本システムは、プログラム管理者／看護職員が使いやすいこと。
US,1日のトレーニングで、すべてのユーザがシステムを使えるようになること。
