label,feature
PE,管理者は、管理画面から5秒以内にプリペイドカードを有効化できること。
PE,顧客は、PIN番号を入力することで、5秒以内にプリペイドカードの状態を確認することができること。
PE,本システムでは、5分以内にPay as you goユーザとしてウェブサイトに登録できること。
PE,本システムでは、顧客が10分以内に「映画見放題」のユーザ登録ができること。
PE,本システムでは、既存の顧客がメールアドレスとパスワードで5秒以内にログインできること。
PE,本システムは、顧客がアカウントをキャンセルできるようにし、プロセスは2分以内に終了すること。これにより、データベースはそのアカウントを非アクティブとみなし、顧客はウェブサイトにログインできなくなること。
PE,本システムは、管理者が1分以内に顧客のアカウントを無効にできること。これにより、顧客はウェブサイトにアクセスすることができなくなる。
PE,本システムは、管理者が5分以内にウェブサイト上で映画を追加、削除できること。入力された映画情報は、データベースに保存され、ウェブサイト上で公開される。
PE,本システムは、管理者が5分以内にサイト上のカテゴリーを追加・削除できること。
PE,本システムは、Izogn Managerが2分以内に売上と使用統計にアクセスできるようにすること。
PE,本システムは、管理者が2分以内に、一意のプリペイドPINを生成し、生成されたPINを使用してExcelファイルを生成できるようにすること。
LF,本ウェブサイトは、すべての視聴者にとって魅力的であること。本ウェブサイトは、楽しく見えること、色は明るく鮮やかであること。
LF,本ウェブサイトは、アフリカ的な雰囲気を備えるべきだが、アフリカ以外の人にも受け入れられるサイトにすること。サービス内容を紹介するページではアニメーションを使用し、ユーザーの興味を引き、登録を促すこと。
LF,本ウェブサイトのデザインは、モダンでクリーンで簡潔であること。
US,本製品は、インターネットの初級ユーザの90％が使用できること。
US,顧客がアカウントを作成するために必要なページ数は、最大4ページとすること。
US,顧客は、ウェブサイトにログインした後、2クリック以内でストリーミング動画に、アクセスできるようになること。
US,無記名のアンケートにより、2週間の利用で70％のお客様がストリーミング動画を安心して購入できると回答すること。
US,無記名アンケートで、95％の顧客が、システムを1か月使用した後、プリペイドカードを快適に使用および購入できることが示されること。
US,本製品は、顧客の購入の好みや情報を保持するものとする。
US,本製品は、インターネットのスキルが初級の顧客が、簡単にストリーミング動画を購入して視聴が可能であること。顧客は、事前に決められた映画を3分以内に購入して視聴できるようにする。
US,本製品は、ウェブサイトに精通しているユーザが自然に理解できるような記号や用語を使用していること。
US,本ウェブサイトでは、ユーザとのやりとりに標準的なインターネットの既約を使用する。
PE,ユーザと自動化されたシステムとの間のあらゆるインタフェースは、以下の例外で指摘されない限り、最大応答時間が5秒であること。
PE,ストリーミング動画やプリペイドカードをクレジットカードで購入する場合、処理時間は最大15秒の応答時間を必要とすること。
PE,動画をストリーミングする場合、バッファリング時間は10秒以下でなければならない（これに加えて、ユーザの接続による遅延が発生する）。
PE,ストリーミング中にバッファリングが発生するのは、ユーザの接続に遅延が発生した場合のみとする。
SE,すべてのクレジットカード情報は、サーバー上で保護され、権限のあるIzogn管理者のみがアクセスできること。情報はデータベース内で暗号化される。
A,本ウェブサイトは24時間365日利用可能であること。
A,ウェブサイトは99.5%の稼働時間を達成すること。
A,すべての動画がいつでもオンデマンドで配信されること。
FT,ストリーミングサーバーがダウンしても、本ウェブサイトは継続して運営されること。
FT,決済ゲートウェイがダウンしても、ウェブサイトは継続して運営されること。
SC,ストリーミングサーバーは、50台の同時接続に対応する。
SC,ストリーミングサーバーは、最大700本の動画に対応するが、より多くの動画に対応するために新しいサーバーを追加することができること。
SC,"本サーバーは、最大1,000人の同時接続ユーザーをサポートする。"
SC,本ウェブサイトは10万人の顧客をサポートできるものであること。
MN,本製品は、最低2年間、最大保守予算内で動作することが期待される。
O,本ウェブサイトのすべての側面は、インターネット上のウェブブラウザによってアクセスされるものとする。
O,現行のウェブサイトをサポートするのと同じハードウェアを使用して、新しいシステムを運用する。
O,以下のブラウザに対応すること。IE 5.X 6.0 Netscape 6.x 7.x 8.x and Firefox 1.0.
O,ウェブサイトは、クレジットカード決済を処理するために、CyberSource APIとのインタフェースを備える必要がある。
O,ウェブサイトは、MSN TV2と完全に連動している必要がある。
O,動画は、Windows Media Player 9.0でエンコードして配信すること。
O,動画は、56kおよび256kのストリーム用にエンコードされること。
MN,Webサイトのプロモーション更新は、1日で更新のこと。
PE,Izogn管理者は、ウェブサイトのカテゴリーリストを2分以内に更新できること。
PE,Izognの管理者は、2分以内に新製品をウェブサイトに追加できるること。
A,本システムは、顧客へのサポートのために24時間のフリーダイヤルを提供する。
US,本Webサイトには、一般的な問題に対する回答と解決策が記載されたヘルプセクションを提供すること。
A,Velkatのスタッフは、午前7時から午後7時まで電話サポートを利用して、Izogn管理者に技術サポートを提供する。
O,本製品は、1営業日以内に指定された環境に設置できるものとする。
SE,登録済みの顧客のみがストリーミング映画を購入できること。
SE,顧客は、映画を購入し、2日間の視聴期間内である場合にのみ、映画をストリーム再生できること。
SE,データベース内の顧客レコードにアクセスできるのは、許可された担当者のみとする。
SE,管理者のみがプリペイドカードをアクティブ化でできること。
SE,許可された担当者のみが販売情報にアクセスでること。
SE,本ウェブサイトは、誤ったデータが入力された場合にそのデータが破損するの防止すること。
SE,本ウェブサイトは意図的な悪用から身を守り、あらゆる場合に管理者に通知すること。
SE,データベースの完全性を検証するために、データ完全性スクリプトが毎週実行される。
SE,本ウェブサイトは、個人情報を収集する前に、本ウェブサイトのすべてのページでアクセス可能なプライバシーポリシーにより、その情報取扱方法をユーザーに周知するものとする。
SE,本システムは、情報ポリシーの変更を顧客に通知すること。
SE,本システムは、組織の情報ポリシーに準拠する場合にのみ個人情報を開示するものとする。
SE,すべての顧客情報は、許可された担当者のみがアクセスできる安全なデータベースに保存されること。
