label,feature
LF,本システムのインタフェースはCCRの命名法を使用する。本システムは、既存のWCSシステムやレポートで使用されているのと同じ命名法を使用しなければならない。
LF,インターフェイスは、CCRの経営陣にアピールする方法でデータを要約しなければならない。すべてのレポートのタイプには、少なくとも1つのハイレベルな要約（サマリ）が、結果ダッシュボード／インターフェースに表示されなければならない。
US,システムは、ポイント＆クリック式のインターフェースを採用すること。すべての選択およびナビゲーション機能の100％が、マウスまたはキーボードのいずれかで起動または選択できること。
US,インターフェイスは使いやすすくなければならない。ユーザの90%が、初回の使用時にシステムを使用してレポートの作成が可能なこと。インタフェースはIBMのユーザビリティ基準に準拠すること。
US,レポートは容易に生成されなければならない。レポートは、ワンボタンのクリックで作成でき、（レポートを選択した後）ワンボタンでエクスポートできる必要がある。
US,ユーザは、短時間で指示なしでシステムを使用できなければならない。ユーザは、1回の使用で、システムの使い方やナビゲーションの90％を理解し、覚えられる必要がある。
US,すべてのCCRユーザは、WCSシステムが展開される前にトレーニングを受けなければならない。システム展開前に、100％のCCRユーザに対して1回のトレーニングセッションを実施する（CCRユーザが利用可能であることが前提である）。
US,WCS システムは、Corporate Community Grants 組織が定義した適切な命名法と用語を使用しなければならない。すべてのインターフェースとレポートは、CCRのユーザによるユーザビリティテストを受ける。
A,WCS システムは、IBM の社内イントラネット W3 がアクセス可能である限り、常時、利用可能でなければならない。WCSシステムは、IBMの内部イントラネットW3が利用可能時間の95％で利用可能でなければならない。
SC,WCSシステムは、現在システムに含まれていない、その他の指定されたWCSデータベースを接続する機能を有しなければならない。
SC,WCSシステムは、米国外の地域向けのデータを含める機能があり、CCR管理者により承認された場合、米国外のユーザがアクセスできる機能を持たなければならない。
O,WCS システムは、Windows 環境で動作しなければなない。WCSシステム は、Windows 2000 以上の OS を搭載した IBM のコンピュータからインターネットを介してアクセスすることができる。
O,WCSシステムのBrio部分は、スプレッドシート形式（Microsoft ExcelおよびLotus 1-2-3形式）のファイルをエクスポートできる必要がある。Brioは、.xlsまたは.123ファイル形式でレポートを作成/エクスポートするボタンをユーザインターフェースに提供する。
MN,WCS システムは、CCR ユーザーが利用できるデータを更新するために、WCS データベースへのクエリをもう一度（指定された日に）実行しなければならない。データ更新のための外部データベースへの問い合わせは、週に一度行わなければならない。
MN,WCS システムのすべての変更更新および追加は、WCS デベロッパーガイドおよび WCS ユーザーガイドで更新されるものとする。すべての変更は、WCSシステムのドキュメントに反映されなければならない。
SE,本システムには、権限を与えられたCorporate Community Grants（CCR）の従業員のみがアクセスできるものとする。ユーザは、IBMイントラネットのユーザー名とパスワードを使って認証されなければならない。
SE,WCSシステムは、いかなるユーザによる自動ログインも許可しないものとする。ユーザのWCSログイン情報を含むCookiesは、ユーザのコンピュータには保存されない。
