label,feature
US,本システムは、看護学生の授業や臨床のスケジュールを立てる際に、ユーザがミスをしないようにサポートする。
US,生徒が指摘したミスの数を1年目に50％減少させること。
US,プログラム管理者／看護スタッフが直感的に操作できるシステムであること。
US,3人中2人のプログラム管理者/看護スタッフが、システムを使って授業や臨床のスケジュールを管理できるようになること。
US,本システムでは、ユーザコミュニティが自然に理解できる記号や単語を使用すること。
US,システム内で使用される用語は、標準的な英語および国内の看護コミュニティの用語と一致するものとする。
PE,スタッフは、一連のタスクをタイムリーにこなすことができること。
PE,一般的な学生管理タスクの応答時間は5秒以下、スケジュール生成の応答時間は30秒以下であること。
A,本システムは、午前8時から午後6時までの間に使用できること。
A,本システムは95％の稼働時間を達成すること。
SC,システムは、営業時間中のすべてのユーザのリクエスト、または使用法に対応できること。
SC,本システムは、午前9時から午後5時まで10人の同時ユーザに対応すること。
SC,本システムは、今後10年間、100％の看護学生とその授業を処理できるシステムであること。
SC,本システムは、最低でも5年間分の看護プログラムのカリキュラムと授業・臨床のスケジュールを管理できること。
O,本システムは、DePaul大学の看護学部の典型的なビジネスオフィス環境で動作することができること。
O,本システムは、プログラム管理者・看護職員が使用するコンピュータで定められた仕様の範囲内で使用されること。
O,本システムは、Windows XP Professional オペレーティングシステム内で動作すること。
O,本システムは、CampusConnectsのセントラルサーバと整合性を保つこと。
O,本システムは。教員用セントラルサーバと整合性を保つこと。
O,本システムは、学生マスターサーバとの整合性を保つこと。
O,どのようなHTMLブラウザでも対応できるようにすること。
SE,承認されたユーザのみが臨床現場の情報にアクセスできること。
SE,臨床現場の詳細にアクセスできるのは、プログラム管理者／看護スタッフのみとする。
SE,承認されたユーザのみが学生の個人情報にアクセスできるものとする。
SE,学生の個人情報にアクセスできるのは、Susan Poslusny博士とJulie Donalek博士だけとする。
SE,許可されたユーザのみが、CampusConnect とのインタフェースとなるシステムの部分にアクセスできるものとする。
SE,適用基準: Dr Susan PoslusnyとKaren Sysolのみが、CampusConnectとのインターフェイスとなるシステムの最終的なクラスセクションのスケジューリングにアクセスできること。
SE,本システムは、誤ったデータや無効なデータが混入する可能性を低減するために、基本的なデータ整合性チェックを行うこと。
SE,本システムは、組織の情報ポリシーに基づいて個人情報を保護すること。
SE,本システムは、悪意のある干渉から可能な限り安全であるように構築されなければならない。
SE,本システムは、組織の標準的なウイルス保護ソフトウェアを使用して、自身への脅威を監視すること。
