label,feature
PE,過去30日間の在庫数量調整の再作成には、30分以内で行うこと。
PE,本システムでは、最低6人のユーザが同時に作業できること。
O,本システムでは、現在所有している、既存のコンピュータ機器を使用すること。
O,本システムは、業務データを自動的にバックアップし、必要に応じて復元することができること。
SE,本システムは、一貫したセキュリティを維持するものとする。ユーザのパスワードや権限を変更した場合は、システムのすべての部分に変更を与えること。
SE,本システムは、すべての主要サブシステムに対するアクセス権をきめ細かく制御すること。すべてのサブシステムに独立してアクセス権を割り当てることが可能であること。
L,本システムは、適用されるすべての会計基準を満たしていること。本システムの最終版は、認証された監査者による独立した監査に合格しなければならない。
O,本システムでは、ロイヤリティを伴う第三者のライセンスを必要としないこと。
F,本システムでは、必要に応じて、在庫量調整文書を作成することができること。
F,本システムでは、ある時点以降のすべての在庫量調整文書を、オンデマンドで作成できること。
F,IQAサブシステムは、現在の在庫状況を考慮し、それに応じて代替成分の在庫を調整しなければならない。
F,本システムでは、製品の処方を入力し、保存、変更することができること。
F,本製品の処方は、独自の処方を持つ半製品の使用を認めること。
F,製品の配合成分は、置換可能な成分を定義できること。
F,製品配合の代替成分は、PFEサブシステムにより自動的に入力されること。
F,製品配合の代替成分は、永続的な順序で維持されること。
F,本製品は、POS端末が使用する製品メニューの保存および変更を入力できること。
F,PMEサブシステムは、会計システムに保持されている製品のリストに基づいて製品メニューを構築できるようにすること
F,PMEサブシステムは、メニュー内のサブメニューとサブメニュー内の製品を、管理された永続的な順序で維持できるようにすること。
F,PMEサブシステムは、製品が複数のサブメニューに存在できるようにすること。
F,RMSシステムは、Windows XPのルック・アンド・フィールを備え、直感的に使用できる特徴のGUIにすること。
F,本システムは、製品の日次販売データと製品の計算式に基づいて、在庫数量調整書を作成すること。
F,本システムは、日次の製品販売データが利用可能な場合、在庫数量調整文書を自動的に生成すること。
