label,feature
SE,各チームオーナーは、チームオーナーページにアクセスするために、ユーザー名とパスワードを使用して認証を受ける必要があります。
SE,コミッショナーは、リーグの設定を調整するための権限を持つ唯一のユーザである。
LF,各ページには、現在のページが含まれているインデックスを示すナビゲーションメニューが含まれているなければならない。
LF,各ページは同様のフォーマットで、アクションアイテムが一箇所に、ナビゲーションボタンが別の場所に配置されてなければならない。
LF,メッセージボードには、リーグページに最近投稿された5つのメッセージが表示されなければならない。表示されるメッセージには、メッセージの最初の150文字までを含める。
US,新規ユーザは、スタートアップページに到達してから30秒以内に、リーグとチームのページをナビゲートできなければならない。
US,ユーザは、チームオーナページからワンクリックで、選手の追加・削除・トレードのページにアクセスできなければならない。
US,ユーザは、各ページで少なくとも25人のNFL選手の統計データとポイントを閲覧できなければならない。
US,本アプリケーションは、選手のドロップやトレードを行う前に、ユーザに確認を取るらなければならない。
PE,本アプリケーションは、ネットワーク経由でリクエストを受信してから1/4秒以内に、すべてのユーザのトランザクションを完了できなければならない。
A,本アプリケーションのダウンタイムは、年間で最大10分でなければならない。
O,本アプリケーションは、Webアプリケーションサーバー上で動作しなければならない。
O,プライマリデータベースは、アクティブなユーザ向けのキャッシュデータを保存するために使用される。
O,セカンダリデータベースは、統計やデータの履歴を保存するために使用される。
MN,アプリケーションの更新は、NFLシーズン中の水曜日の午前3時から午前6時（CST）の間に行われる。
MN,システムの新バージョンのリリースは、NFLの各シーズンの初めに実施しなければならない。
