F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,1,1,0,0,0,0,0,0,0,0,本アプリケーションは、内部および外部で使用されるアプリケーションのユーザインタフェース作成のための企業標準に準拠しなければならない。　
0,0,0,1,1,0,0,0,0,0,0,0,0,本アプリケーションの一部として作成されたすべての画面は、インターフェイス作成に関する企業の標準に準拠する必要がある。
0,0,0,0,1,0,0,0,0,0,0,1,0,本アプリケーションにおいて検索を実行した後に表示される異議申し立てのリストは、異議申し立ての案件を容易に識別できるように色分けされている必要がある。
0,0,0,0,0,0,0,0,0,0,0,1,0,2日間のトレーニングコースを受けた後、カード会員および加盟店サービス担当者の100％が、異議申し立て管理アプリケーションを定期的に使用できるようになること。
0,0,0,0,0,0,0,0,0,0,0,1,0,カード会員サービス担当者の100%が、トレーニングコース完了後の初めての段階で異議申し立て案件の作成に成功できること。
0,0,0,0,0,0,0,0,0,0,0,1,0,加盟店のサービス担当者の100％が、トレーニングコース完了後の最初の段階で異議申し立て案件に対するフォローアップアクションを成功できること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本アプリケーション内でユーザが1つの画面から別の画面に移動するための最大待機時間は、5秒以内とする。
0,0,0,0,0,0,0,1,0,1,0,0,0,本アプリケーションは、アプリケーションのパフォーマンスを低下させることなく、350人の同時ユーザをサポートしなければならない。
0,1,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、次の定期メンテナンス期間を除いて、24時間365日無休で利用できなければならない。月曜日土曜日3:00 amから4:00 amEST日曜日1:00 amdから5:00 am EST
0,0,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、ステートメント・データベースと整合性をとらなければならない。ステートメント・データベースは、取引の詳細を異議申し立て管理システムに提供する。すべてのトランザクションの詳細は、ステートメントデータベースから取得する必要がある。
0,0,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、カード会員情報データベースと連携しなければならない。カード会員情報データベースは、カード会員に関する詳細情報を提供しする。すべてのカード会員の詳細情報は、カード会員情報データベースから取得する必要がある。
0,0,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、加盟店情報データベースと整合させなければならない。加盟店情報データベースは、加盟店に関する詳細情報を提供する。すべての加盟店詳細情報は、加盟店情報データベースから取得しなければならない。
0,0,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、Lettersアプリケーションと連動しなければならない。これにより、異議申し立て申請は、異議申し立ての開始及び異議申し立てのフォローアッププロセスの一環として書類を要求することができる。すべての書類リクエストは、Print Letter Utility アプリケーションに送信する必要がある。
0,0,0,0,0,0,1,0,0,0,0,0,0,本アプリケーションは、カード会員の明細および請求システムと連動しなければならない。これにより、異議申し立て管理アプリケーションはカード会員と加盟店のアカウントの支払い情報の修正を要求することができる。すべての加盟店の情報修正リクエストは、カード会員の明細および請求システムに送信する必要がある。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションは、適切なアクセスレベルを持つユーザのみが異議申し立てリクエストを開始できるようにしなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションは、更新アクセス権を持つユーザのみが異議申し立てリクエストを作成することができる。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションは、許可されたユーザのみがアプリケーションにログオンできるようにしなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションは、認証されたすべてのユーザは一度認証されれば異議申し立て管理システムにログオンできなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,0,本アプリケーションは、追加された新しいユーザと既存のユーザーのアクセスレベルへの変更を詳述するユーザーレポートを生成しなければならない。レポートは監査目的でレビューされる。
0,0,0,0,0,0,0,0,0,0,1,0,0,本アプリケーションにおいて、新規ユーザの追加およびユーザアクセスの変更はすべて、ユーザレポートに記録されなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションにおいて、ユーザアカウントが取り消された場合、システム管理者のみが再インスタンス化できるものとする。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションにおいて、取り消されたユーザログオンアカウントをリセットできるのは、システム管理者のみでなければならない。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションは、ビジネスデータを操作および表示するものとする。ユーザはデータファイルやデータベースに直接アクセスできないものとする。
0,0,0,0,0,0,0,0,0,0,1,0,1,本アプリケーションにおいて、データファイルまたはデータベースのすべての更新は、異議申し立て管理システムから行う必要がある。
0,0,0,1,0,0,0,0,0,0,0,0,0,本アプリケーションにおいて、異議申立書は、加盟店運営規定で指定されている法的要因に準拠しなければならない。
0,0,0,1,0,0,0,0,0,0,0,0,0,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠しなければならない。
0,0,0,1,0,0,0,0,0,0,0,0,0,本アプリケーションは、クレジットカードの異議申し立て処理を管理する規定Eおよび規定Zで指定された法的要因に準拠しなければならない。
0,0,0,1,0,0,0,0,0,0,0,0,0,本システムで指定されているすべてのビジネスルールは、加盟店運営規定に準拠するものとする。
0,0,0,1,0,0,0,0,0,0,1,0,0,本アプリケーションは、ユーザが異議申し立て案件に対して実行するすべてのアクションの詳細な履歴を保持する必要がある。これにより、後に特定の異議申し立て案件に関して質問事項が生じた場合、完全な監査証跡が確保される。
0,0,0,1,0,0,0,0,0,0,1,0,0,本アプリケーションにおいて、既存の異議申し立て案件を修正するすべての行動は、案件履歴に記録されなければならない。
