F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,1,0,0,0,0,0,0,0,0,0,0,0,RFS システムは、特に予算編成期間中は 24 時間 365 日利用可能であること。RFSシステムは、年間を通して90％、予算編成期間中は98％の確率で利用可能であること。2%の確率で、状況が報告されてから1時間以内にシステムを利用可能にすること。
0,0,0,0,0,0,1,0,0,0,0,0,0,実装に先立ち、98%のユーザ側のワークステーションが最低限のハードウェア要求を満たすこと。ハードディスクの空き容量は、400MB以上であること。
0,0,0,0,0,0,1,0,0,0,0,0,0,ユーザ側のワークステーションの98%が、導入前に最低限のソフトウェア要求を満たしていること。Microsoft Internet Explorer 5.0、Microsoft .NET Framework 1.1、Microsoft Internet Explorer Web Controlsをインストール済みであること。
0,0,0,0,0,0,1,0,0,0,0,0,0,RFS システムは、BDW 環境からデータを読み込むために容易にインタフェースを提供すること。7つのデータファイルをBDWから受信し、毎年、予算編成プロセス開始の1日前の3時間以内にRFSシステムに読み込むこと。データは 10 月の月末時点のものを使用する。テストファイル（7 個）は、BDW から年間を通じて最大 5 回読み込まれるものとする。
0,0,0,0,0,1,0,0,0,0,0,0,0,収入と支出の算出式の変更は、毎年、予算編成プロセスの開始前にRFSシステムに適用されなければならない。収入と支出の算出式は、受け取ってから1週間以内に更新され、その後2週間かけてプロジェクト開発チームとPCGファイナンスが共同で行う予算試算のテストを実施する。
0,0,0,0,0,1,0,0,0,0,0,0,0,BDWに追加された新しい支店/複合施設/地区/地域および収入/支出勘定は、RFSシステムに反映されなければならない。10月の月末時点で利用可能なエンティティ（上記）の100％が、予算開始プロセスの前にRFSシステムにロードされる。
0,0,0,0,0,0,0,0,0,0,1,0,1,承認されたユーザのみがRFSシステムにアクセスする。UASシステムに存在し、その役割にRFSシステムが割り当てられているユーザのみが、RFSシステムにアクセスして使用することができる。
0,0,0,0,0,0,0,0,0,0,1,0,1,ユーザのアクセスは、ロールに付与された権限に制限する必要がある。PCG階層の各レベルにロールが割り当てられ、ユーザにはこれらのロールが割り当てられます。 RFSシステム内の機能へのアクセスは、ロールに割り当てられた特権/権限によって異なる。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品は、 ENET 証券のイントラネットページの標準および要求に準拠している必要がある。製品のルック・アンド・フィールの95％は、実装前にアーキテクチャグループによって承認される。製品のルック・アンド・フィールの残りの5％は、製品リリースから1か月以内に修正および承認される。
0,0,0,0,1,0,0,0,0,0,0,0,0,イントラネットのページは、800x600以上のすべての解像度で適切に表示される必要がある。全ページの表示は、実装前に95％の解像度で正しく表示される。残りの5%については、正しく表示されない旨の通知を受けてから1週間以内に修正する。
0,0,0,0,0,0,0,0,0,0,0,1,0,ユーザがシステムを容易に使用し、規定の時間内に予算を完成させる必要がある。製品導入前に1週間のトレーニングを行うことで、98％のユーザが規定の時間内に予算を完成させることができなければならない。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品のインターフェースは高速である必要がある。本製品のインターフェースは、応答時間の90％は2秒を超えてはならない。本製品のインタフェースの応答時間の10％は、10秒を超えてはならない。
