label,feature
LF,本製品は、海上の船舶の様子を再現すること。
LF,本製品では、潜望鏡からビューとして、円内のグリッドを表示すること。
LF,本製品では、特定の船種の画像を用いて、各船種をグリッドに表示すること。
LF,攻撃側のプレーヤーがシュートを打つとき、本製品は海に浮かぶ船の音を再現すること。
LF,ショットが失敗と判定された場合、本製品は、ショットがターゲットを外れたときの音を再現すること。
LF,ショットがヒットしたとき、本製品は、ショットがターゲットに当たったときの音を再現すること。
LF,船の沈没時には、本製品は沈没音を再現すること。
A,本製品は、1日24時間、週7日利用可能であること。
PE,本製品は、多数のゲームを同時に処理できること。
PE,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
PE,本製品は、プレーヤーの個人情報を保護するものとする。本製品は、プレイヤーが他のプレイヤーの個人を特定する可能性のある情報にアクセスできないようにすること。
US,本製品は、直感的でわかりやすいこと。10人中9人のユーザーが、トレーニングなしでゲームを成功させることができること。
US,本製品は、英語、スペイン語、フランス語を理解するプレイヤーが利用できること。本製品は、アクセス時に言語を選択できること。
SE,本製品は、他のプレイヤーの個人情報を明らかにする可能性のある情報へのアクセスをプレイヤーに提供しないものとする。
PE,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
F,本製品は、プレーヤーのリストを保持できなければならない。
F,本製品では、ユーザーが自分自身をプレーヤーとして識別できること。
F,ゲームが開始されると、本製品はそのゲームに割り当てられた選手を選手リストから選択できないようにしなければならない。
F,本製品は、ユーザーがいつでもプレーヤーのリストから自分を削除できること。
F,本製品は、非活動中の選手を選手リストから選択できないようにすること。
F,本製品は、24時間活動していないプレーヤーをプレーヤーリストから削除すること。
F,本製品では、プレーヤーが、プレーヤーリストから利用可能な他のプレーヤーを選択することで、ゲームを開始することができること。
F,ゲームが開始されると、本製品は各プレーヤーに防御用のグリッドを表示すること。
F,ゲームが開始されると、本製品は各プレーヤーに攻撃用のグリッドを表示すること。
F,本製品は、プレイヤーが相手プレイヤーの攻撃用のグリッドや防御用のグリッドを見ることができないようにすること。
F,ゲームが開始されると、本製品は各プレイヤーに5隻の船をそれぞれの防御グリッドに配置させること。
F,本製品では、プレイヤーはグリッド上で船を水平に配置することができなければならない。
F,本製品では、プレイヤーはグリッド上で船を垂直に配置できなければならない。
F,製品は、プレイヤーが船をグリッド上に斜めに配置できなければならない。
F,本製品は、プレイヤーが自分のグリッド上で船を重ねることができないようになっていること。
F,両プレイヤーが5隻の艦船をそれぞれの防御グリッドに配置した時点で、本製品は第1ターンの各プレイヤーの状態を定義しなければならない。
F,各ターンにおいて、本製品は1人のプレーヤーを攻撃的な状態に、1人のプレーヤーを防御的な状態に識別しなければならない。
F,本製品は、攻守いずれのターンにおいても、各プレーヤーの状態を保持しなければならない。
F,各ターンの開始時に、本製品は各プレイヤーに自分のステータスを通知しなければならない。
F,各ターンにおいて、本製品は攻撃側のプレーヤーにショットを定義させなければならない。
F,各ショットについて、本製品は攻撃側のプレイヤーの攻撃用グリッドを調べ、ショットがヒットしたか失敗したかを判断しなければならない。
F,本製品は、ショットごとに、そのショットがヒットしたか失敗したかをプレイヤーに通知しなければならない。
F,各ショットについて、製品はそのショットを防御側プレーヤーの防御用グリッドにヒットまたは失敗としてマークしなければならない。
F,各ショットについて、本製品はそのショットを攻撃側プレーヤーの攻撃用グリッドにヒットまたは失敗としてマークしなければならない。
F,そのヒットの結果、船が沈んだ場合、本製品はプレイヤーに船が沈んだことを通知しなければならない。
F,そのヒットの結果、船が沈んだ場合、製品はその船を防御側プレーヤーの防御グリッド上に沈んだと表示しなければならない。
F,そのヒットの結果、船が沈んだ場合、本製品は沈んだ船の種類を防御側プレーヤーの防御範囲に表示しなければならない。
F,そのヒットにより船が沈んだ場合、本製品はその船を攻撃側プレイヤーの攻撃グリッド上に沈んだと表示しなければならない。
F,そのショットがヒットとしてマークされた場合、本製品は攻撃側プレーヤーにショットを定義することを許可しなければならない。
F,そのショットが失敗と判定された場合、本製品は攻撃側プレーヤーのステータスを防御側に変更しなければならない。
F,そのショットが失敗と判定された場合、本製品は防御側のプレーヤーの状態を攻撃側に変更しなければならない。
F,本製品は、ゲームが終了するまでターンを割り当て続けるものとする。
F,製品は、攻撃側のプレーヤーのヒットにより、以前に沈没したとしてマークされていなかった最後の防御側のプレーヤーの船が沈没したときに、ゲームを終了するものとします。
F,本製品では、プレイヤーがゲーム中にいつでもゲームを終了できなければならない。
F,ゲームが終了した場合、本製品はプレーヤーにゲームが終了したことを通知しなければならない。
F,ゲーム終了の通知には、ゲームが終了した理由（プレイヤーがゲームに勝利した、またはプレイヤーがゲームを終了したなど）が含まれる。
F,本製品は、ゲームが終了すると、各プレーヤーは、プレーヤーリストにおいて、自身が利用可能であることを認識できること。
F,本製品は、ゲームが終了すると、各プレーヤーがプレーヤーリストから自身を削除することを許可すること。
US,本システムは、発信者と監督者が使いやすいものでなければならない。発信者と監督者は、あらゆるシステムのタスクを2分以内に達成できなければならない。
US,本システムは、発信者および監督者が容易に習得できるものであること。発信者および監督者は、10分以内にシステムの使用方法を習得すること。
