F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品は、海上の船舶の様子を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品では、潜望鏡からビューとして、円内のグリッドを表示すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品では、特定の船種の画像を用いて、各船種をグリッドに表示すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,攻撃側のプレーヤーがシュートを打つとき、本製品は海に浮かぶ船の音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,ショットが失敗と判定された場合、本製品は、ショットがターゲットを外れたときの音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,ショットがヒットしたとき、本製品は、ショットがターゲットに当たったときの音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,船の沈没時には、本製品は沈没音を再現すること。
0,1,0,0,0,0,0,0,0,0,0,0,0,本製品は、1日24時間、週7日利用可能であること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、多数のゲームを同時に処理できること。
0,0,0,0,0,0,0,1,0,0,0,0,0,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、プレーヤーの個人情報を保護するものとする。本製品は、プレイヤーが他のプレイヤーの個人を特定する可能性のある情報にアクセスできないようにすること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、直感的でわかりやすいこと。10人中9人のユーザーが、トレーニングなしでゲームを成功させることができること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、英語、スペイン語、フランス語を理解するプレイヤーが利用できること。本製品は、アクセス時に言語を選択できること。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、他のプレイヤーの個人情報を明らかにする可能性のある情報へのアクセスをプレイヤーに提供しないものとする。
0,0,0,0,0,0,1,0,0,0,0,0,0,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、発信者と監督者が使いやすいものでなければならない。発信者と監督者は、あらゆるシステムのタスクを2分以内に達成できなければならない。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、発信者および監督者が容易に習得できるものであること。発信者および監督者は、10分以内にシステムの使用方法を習得すること。
