F,A,FT,L,LF,MN,O,PE,PO,SC,SE,US,A_C,feature
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品は、海上の船舶の様子を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品では、潜望鏡からビューとして、円内のグリッドを表示すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,本製品では、特定の船種の画像を用いて、各船種をグリッドに表示すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,攻撃側のプレーヤーがシュートを打つとき、本製品は海に浮かぶ船の音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,ショットが失敗と判定された場合、本製品は、ショットがターゲットを外れたときの音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,ショットがヒットしたとき、本製品は、ショットがターゲットに当たったときの音を再現すること。
0,0,0,0,1,0,0,0,0,0,0,0,0,船の沈没時には、本製品は沈没音を再現すること。
0,1,0,0,0,0,0,0,0,0,0,0,0,本製品は、1日24時間、週7日利用可能であること。
0,0,0,0,0,0,0,1,0,0,0,0,0,本製品は、多数のゲームを同時に処理できること。
0,0,0,0,0,0,0,1,0,0,0,0,0,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、プレーヤーの個人情報を保護するものとする。本製品は、プレイヤーが他のプレイヤーの個人を特定する可能性のある情報にアクセスできないようにすること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、直感的でわかりやすいこと。10人中9人のユーザーが、トレーニングなしでゲームを成功させることができること。
0,0,0,0,0,0,0,0,0,0,0,1,0,本製品は、英語、スペイン語、フランス語を理解するプレイヤーが利用できること。本製品は、アクセス時に言語を選択できること。
0,0,0,0,0,0,0,0,0,0,1,0,1,本製品は、他のプレイヤーの個人情報を明らかにする可能性のある情報へのアクセスをプレイヤーに提供しないものとする。
0,0,0,0,0,0,1,0,0,0,0,0,0,応答時間は、ゲームの流れを維持するのに十分な速さであること。応答時間は、95％のうち2秒以下、残りの5％のうちの応答時間は4秒以下とする。
1,0,0,0,0,0,0,0,0,0,0,0,0,本製品では、プレーヤーが、プレーヤーリストから利用可能な他のプレーヤーを選択することで、ゲームを開始することができること。
1,0,0,0,0,0,0,0,0,0,0,0,0,ゲームが開始されると、本製品は各プレーヤーに防御用のグリッドを表示すること。
1,0,0,0,0,0,0,0,0,0,0,0,0,ゲームが開始されると、本製品は各プレーヤーに攻撃用のグリッドを表示すること。
1,0,0,0,0,0,0,0,0,0,0,0,0,そのヒットの結果、船が沈んだ場合、本製品は沈んだ船の種類を防御側プレーヤーの防御範囲に表示しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,そのヒットにより船が沈んだ場合、本製品はその船を攻撃側プレイヤーの攻撃グリッド上に沈んだと表示しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,そのショットがヒットとしてマークされた場合、本製品は攻撃側プレーヤーにショットを定義することを許可しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,そのショットが失敗と判定された場合、本製品は攻撃側プレーヤーのステータスを防御側に変更しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,そのショットが失敗と判定された場合、本製品は防御側のプレーヤーの状態を攻撃側に変更しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,本製品は、ゲームが終了するまでターンを割り当て続けるものとする。
1,0,0,0,0,0,0,0,0,0,0,0,0,製品は、攻撃側のプレーヤーのヒットにより、以前に沈没したとしてマークされていなかった最後の防御側のプレーヤーの船が沈没したときに、ゲームを終了するものとします。
1,0,0,0,0,0,0,0,0,0,0,0,0,本製品では、プレイヤーがゲーム中にいつでもゲームを終了できなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,ゲームが終了した場合、本製品はプレーヤーにゲームが終了したことを通知しなければならない。
1,0,0,0,0,0,0,0,0,0,0,0,0,ゲーム終了の通知には、ゲームが終了した理由（プレイヤーがゲームに勝利した、またはプレイヤーがゲームを終了したなど）が含まれる。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、発信者と監督者が使いやすいものでなければならない。発信者と監督者は、あらゆるシステムのタスクを2分以内に達成できなければならない。
0,0,0,0,0,0,0,0,0,0,0,1,0,本システムは、発信者および監督者が容易に習得できるものであること。発信者および監督者は、10分以内にシステムの使用方法を習得すること。
